OperationName,OperationNameValue,Category,CategoryValue
,MICROSOFT.LOGIC/WORKFLOWS/RUNS/CANCEL/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/TRIGGERS/HISTORIES/RESUBMIT/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/TRIGGERS/LISTCALLBACKURL/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/TRIGGERS/RUN/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/VALIDATE/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/BATCHENDPOINTS/DEPLOYMENTS/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/BATCHENDPOINTS/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/CHECKCOMPUTENAMEAVAILABILITY/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/DELETE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/LISTNODES/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/RESTART/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/START/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/STOP/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/UPDATEIDLESHUTDOWNSETTING/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/UPDATESCHEDULES/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/COMPUTES/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/DELETE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/JOBS/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/LINKEDSERVICES/DELETE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/LINKEDSERVICES/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/LISTSTORAGEACCOUNTKEYS/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,,Administrative
,MICROSOFT.MACHINELEARNINGSERVICES/WORKSPACES/WRITE,,Administrative
,MICROSOFT.MAINTENANCE/CONFIGURATIONASSIGNMENTS/WRITE,,Administrative
,MICROSOFT.MAINTENANCE/MAINTENANCECONFIGURATIONS/WRITE,,Administrative
,MICROSOFT.MAINTENANCE/REGISTER/ACTION,,Administrative
,MICROSOFT.MANAGEDIDENTITY/USERASSIGNEDIDENTITIES/DELETE,,Administrative
,MICROSOFT.MANAGEDIDENTITY/USERASSIGNEDIDENTITIES/WRITE,,Administrative
,MICROSOFT.MANAGEDSERVICES/REGISTRATIONASSIGNMENTS/WRITE,,Administrative
,MICROSOFT.MANAGEDSERVICES/REGISTRATIONDEFINITIONS/WRITE,,Administrative
,MICROSOFT.MAPS/REGISTER/ACTION,,Administrative
,MICROSOFT.MARKETPLACENOTIFICATIONS/REGISTER/ACTION,,Administrative
,MICROSOFT.MEDIA/REGISTER/ACTION,,Administrative
,MICROSOFT.MIGRATE/ASSESSMENTPROJECTS/WRITE,,Administrative
,MICROSOFT.MIGRATE/MIGRATEPROJECTS/REFRESHSUMMARY/ACTION,,Administrative
,MICROSOFT.MIGRATE/MIGRATEPROJECTS/REGISTERTOOL/ACTION,,Administrative
,MICROSOFT.MIGRATE/MIGRATEPROJECTS/SOLUTIONS/WRITE,,Administrative
,MICROSOFT.MIGRATE/MIGRATEPROJECTS/WRITE,,Administrative
,MICROSOFT.MIGRATE/REGISTER/ACTION,,Administrative
,MICROSOFT.MIXEDREALITY/REGISTER/ACTION,,Administrative
,MICROSOFT.NETWORK/APPLICATIONGATEWAYS/BACKENDHEALTH/ACTION,,Administrative
,MICROSOFT.NETWORK/APPLICATIONGATEWAYS/WRITE,,Administrative
,MICROSOFT.NETWORK/AZUREFIREWALLS/WRITE,,Administrative
,MICROSOFT.NETWORK/BASTIONHOSTS/DELETE,,Administrative
,MICROSOFT.NETWORK/BASTIONHOSTS/GETACTIVESESSIONS/ACTION,,Administrative
,MICROSOFT.NETWORK/BASTIONHOSTS/WRITE,,Administrative
,MICROSOFT.NETWORK/CONNECTIONS/DELETE,,Administrative
,MICROSOFT.NETWORK/CONNECTIONS/WRITE,,Administrative
,MICROSOFT.NETWORK/DDOSPROTECTIONPLANS/DDOSPROTECTIONPLANPROXIES/DELETE,,Administrative
,MICROSOFT.NETWORK/DDOSPROTECTIONPLANS/DDOSPROTECTIONPLANPROXIES/WRITE,,Administrative
,MICROSOFT.NETWORK/DDOSPROTECTIONPLANS/DELETE,,Administrative
,MICROSOFT.NETWORK/DDOSPROTECTIONPLANS/WRITE,,Administrative
,MICROSOFT.NETWORK/EXPRESSROUTECIRCUITS/WRITE,,Administrative
,MICROSOFT.NETWORK/FIREWALLPOLICIES/DELETE,,Administrative
,MICROSOFT.NETWORK/FIREWALLPOLICIES/WRITE,,Administrative
,MICROSOFT.NETWORK/GETDNSRESOURCEREFERENCE/ACTION,,Administrative
,MICROSOFT.NETWORK/LOADBALANCERS/BACKENDADDRESSPOOLS/WRITE,,Administrative
,MICROSOFT.NETWORK/LOADBALANCERS/DELETE,,Administrative
,MICROSOFT.NETWORK/LOADBALANCERS/WRITE,,Administrative
,MICROSOFT.NETWORK/LOCATIONS/CHECKACCELERATEDNETWORKINGSUPPORT/ACTION,,Administrative
,MICROSOFT.NETWORK/NETWORKINTERFACES/DELETE,,Administrative
,MICROSOFT.NETWORK/NETWORKINTERFACES/EFFECTIVENETWORKSECURITYGROUPS/ACTION,,Administrative
,MICROSOFT.NETWORK/NETWORKINTERFACES/EFFECTIVEROUTETABLE/ACTION,,Administrative
,MICROSOFT.NETWORK/NETWORKINTERFACES/WRITE,,Administrative
,MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/DELETE,,Administrative
,MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/SECURITYRULES/DELETE,,Administrative
,MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/SECURITYRULES/WRITE,,Administrative
,MICROSOFT.NETWORK/NETWORKSECURITYGROUPS/WRITE,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/CONNECTIONMONITORS/DELETE,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/CONNECTIONMONITORS/WRITE,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/DELETE,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/IPFLOWVERIFY/ACTION,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/PACKETCAPTURES/STOP/ACTION,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/PACKETCAPTURES/WRITE,,Administrative
,MICROSOFT.NETWORK/NETWORKWATCHERS/WRITE,,Administrative
,MICROSOFT.NETWORK/PRIVATEDNSZONES/A/DELETE,,Administrative
,MICROSOFT.NETWORK/PRIVATEDNSZONES/A/WRITE,,Administrative
,MICROSOFT.NETWORK/PRIVATEDNSZONES/DELETE,,Administrative
,MICROSOFT.NETWORK/PRIVATEDNSZONES/VIRTUALNETWORKLINKS/DELETE,,Administrative
,MICROSOFT.NETWORK/PRIVATEDNSZONES/VIRTUALNETWORKLINKS/WRITE,,Administrative
,MICROSOFT.NETWORK/PRIVATEDNSZONES/WRITE,,Administrative
,MICROSOFT.NETWORK/PRIVATEENDPOINTS/DELETE,,Administrative
,MICROSOFT.NETWORK/PRIVATEENDPOINTS/PRIVATEDNSZONEGROUPS/WRITE,,Administrative
,MICROSOFT.NETWORK/PRIVATEENDPOINTS/PRIVATELINKSERVICEPROXIES/WRITE,,Administrative
,MICROSOFT.NETWORK/PRIVATEENDPOINTS/WRITE,,Administrative
,MICROSOFT.NETWORK/PUBLICIPADDRESSES/DELETE,,Administrative
,MICROSOFT.NETWORK/PUBLICIPADDRESSES/WRITE,,Administrative
,MICROSOFT.NETWORK/REGISTER/ACTION,,Administrative
,MICROSOFT.NETWORK/ROUTETABLES/DELETE,,Administrative
,MICROSOFT.NETWORK/ROUTETABLES/ROUTES/DELETE,,Administrative
,MICROSOFT.NETWORK/ROUTETABLES/ROUTES/WRITE,,Administrative
,MICROSOFT.NETWORK/ROUTETABLES/WRITE,,Administrative
,MICROSOFT.NETWORK/SERVICEENDPOINTPOLICIES/SERVICEENDPOINTPOLICYDEFINITIONS/WRITE,,Administrative
,MICROSOFT.NETWORK/SERVICEENDPOINTPOLICIES/WRITE,,Administrative
,MICROSOFT.NETWORK/TRAFFICMANAGERPROFILES/AZUREENDPOINTS/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKGATEWAYS/DELETE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/DELETE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/LISTNETWORKMANAGEREFFECTIVECONNECTIVITYCONFIGURATIONS/ACTION,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/LISTNETWORKMANAGEREFFECTIVESECURITYADMINRULES/ACTION,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/CONTEXTUALSERVICEENDPOINTPOLICIES/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/DELETE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/RESOURCENAVIGATIONLINKS/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/SERVICEASSOCIATIONLINKS/DELETE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/SERVICEASSOCIATIONLINKS/VALIDATE/ACTION,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/SERVICEASSOCIATIONLINKS/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/SUBNETS/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/TAGGEDTRAFFICCONSUMERS/DELETE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/TAGGEDTRAFFICCONSUMERS/VALIDATE/ACTION,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/TAGGEDTRAFFICCONSUMERS/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/VIRTUALNETWORKPEERINGS/DELETE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/VIRTUALNETWORKPEERINGS/WRITE,,Administrative
,MICROSOFT.NETWORK/VIRTUALNETWORKS/WRITE,,Administrative
,MICROSOFT.NOTEBOOKS/NOTEBOOKPROXIES/DELETE,,Administrative
,MICROSOFT.NOTEBOOKS/NOTEBOOKPROXIES/LISTCREDENTIALS/ACTION,,Administrative
,MICROSOFT.NOTEBOOKS/NOTEBOOKPROXIES/PRIVATEENDPOINTCONNECTIONPROXIES/ACTION,,Administrative
,MICROSOFT.NOTEBOOKS/NOTEBOOKPROXIES/WRITE,,Administrative
,MICROSOFT.NOTEBOOKS/REGISTER/ACTION,,Administrative
,MICROSOFT.OFFAZURE/HYPERVSITES/WRITE,,Administrative
,MICROSOFT.OFFAZURE/MASTERSITES/APPLIANCEREGISTRATIONINFO/ACTION,,Administrative
,MICROSOFT.OFFAZURE/MASTERSITES/SQLSITES/WRITE,,Administrative
,MICROSOFT.OFFAZURE/MASTERSITES/WEBAPPSITES/WRITE,,Administrative
,MICROSOFT.OFFAZURE/MASTERSITES/WRITE,,Administrative
,MICROSOFT.OFFAZURE/REGISTER/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/QUERYPACKS/QUERIES/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/REGISTER/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/DATACOLLECTORLOGS/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/DATASOURCES/WRITE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/LINKEDSERVICES/WRITE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/LISTKEYS/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/LOGSETTINGS/DEFINITIONS/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/22D0239F-9A9D-499D-84D8-F079AD7C5F09/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/2338E840-0BD8-4457-B24F-1B19F8CAAFE3/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/3A46FA51-BA58-4E11-8869-E72592E2F682/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/558FB908-8C0F-4D07-801F-AB723788637F/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/68E47F70-4C00-4332-BB99-BD4B736678EA/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/6F35027A-C06B-4257-8BF6-FD87501ED09D/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/70431D41-D55B-4838-ADC3-FA8E80B1455B/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/78318FD6-EECB-41CC-AD72-9781B7F60986/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/78D56D87-76C5-4977-A8AB-69A47364F959/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/8E7DAE48-2C0C-40BA-8DF3-EB9DB6D49C58/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/BCB108E6-8550-4370-8160-F0E29DE46ABC/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/CDC1FD3D-E914-46F6-BC55-054CA7428070/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PROVIDERS/INCIDENTS/F5C54685-B042-4885-8436-7914F7C53E53/CC-PROD-SECURITY-SENTINEL/MICROSOFT.OPERATIONALINSIGHTS/CC-PROD-SECURITY-SENTINEL/MICROSOFT.SECURITYINSIGHTS/E79B693B-2360-4D3B-ADD4-F2F85E1B4FD0/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/PURGE/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/SAVEDSEARCHES/DELETE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/SAVEDSEARCHES/WRITE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/SHAREDKEYS/ACTION,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/VIEWS/WRITE,,Administrative
,MICROSOFT.OPERATIONALINSIGHTS/WORKSPACES/WRITE,,Administrative
,MICROSOFT.OPERATIONSMANAGEMENT/REGISTER/ACTION,,Administrative
,MICROSOFT.OPERATIONSMANAGEMENT/SOLUTIONS/DELETE,,Administrative
,MICROSOFT.OPERATIONSMANAGEMENT/SOLUTIONS/WRITE,,Administrative
,MICROSOFT.PORTAL/DASHBOARDS/WRITE,,Administrative
,MICROSOFT.POWERBIDEDICATED/CAPACITIES/WRITE,,Administrative
,MICROSOFT.PURVIEW/ACCOUNTS/ADDROOTCOLLECTIONADMIN/ACTION,,Administrative
,MICROSOFT.PURVIEW/ACCOUNTS/LISTKEYS/ACTION,,Administrative
,MICROSOFT.PURVIEW/ACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,,Administrative
,MICROSOFT.PURVIEW/ACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,,Administrative
,MICROSOFT.PURVIEW/ACCOUNTS/PRIVATEENDPOINTCONNECTIONS/DELETE,,Administrative
,MICROSOFT.PURVIEW/ACCOUNTS/PRIVATEENDPOINTCONNECTIONS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/LOCATIONS/ALLOCATESTAMP/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/LOCATIONS/BACKUPPREVALIDATEPROTECTION/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/LOCATIONS/BACKUPSTATUS/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/LOCATIONS/BACKUPVALIDATEFEATURES/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/LOCATIONS/CHECKNAMEAVAILABILITY/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/REGISTER/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPCONFIG/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/BACKUPPROTECTIONINTENT/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/DELETE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/INQUIRE/ACTION,,Administrative
,Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/backup/action,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/BACKUP/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/DELETE,,Administrative
,Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/delete,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/RECOVERYPOINTS/PROVISIONINSTANTITEMRECOVERY/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/RECOVERYPOINTS/RESTORE/ACTION,,Administrative
,Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/recoveryPoints/restore/action,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/RECOVERYPOINTS/REVOKEINSTANTITEMRECOVERY/ACTION,,Administrative
,Microsoft.RecoveryServices/vaults/backupFabrics/protectionContainers/protectedItems/write,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/PROTECTEDITEMS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/PROTECTIONCONTAINERS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPFABRICS/REFRESHCONTAINERS/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPJOBS/CANCEL/ACTION,,Administrative
,Microsoft.RecoveryServices/vaults/backupJobs/cancel/action,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPPOLICIES/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPSECURITYPIN/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/BACKUPTRIGGERVALIDATEOPERATION/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/CERTIFICATES/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/DELETE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REGISTEREDIDENTITIES/DELETE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONNETWORKS/REPLICATIONNETWORKMAPPINGS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONPROTECTIONCONTAINERS/REPLICATIONPROTECTEDITEMS/TESTFAILOVER/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONPROTECTIONCONTAINERS/REPLICATIONPROTECTEDITEMS/TESTFAILOVERCLEANUP/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONPROTECTIONCONTAINERS/REPLICATIONPROTECTEDITEMS/UPDATEMOBILITYSERVICE/ACTION,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONPROTECTIONCONTAINERS/REPLICATIONPROTECTEDITEMS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONPROTECTIONCONTAINERS/REPLICATIONPROTECTIONCONTAINERMAPPINGS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/REPLICATIONPROTECTIONCONTAINERS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONFABRICS/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/REPLICATIONPOLICIES/WRITE,,Administrative
,MICROSOFT.RECOVERYSERVICES/VAULTS/WRITE,,Administrative
,Microsoft.RecoveryServices/vaultsUndelete,,Administrative
,MICROSOFT.RESOURCEGRAPH/QUERIES/WRITE,,Administrative
,MICROSOFT.RESOURCEHEALTH/REGISTER/ACTION,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTS/CANCEL/ACTION,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTS/DELETE,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTS/EXPORTTEMPLATE/ACTION,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTS/VALIDATE/ACTION,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTS/WRITE,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTSCRIPTS/DELETE,,Administrative
,MICROSOFT.RESOURCES/DEPLOYMENTSCRIPTS/WRITE,,Administrative
,MICROSOFT.RESOURCES/LINKS/WRITE,,Administrative
,MICROSOFT.RESOURCES/MARKETPLACE/PURCHASE/ACTION,,Administrative
,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/DELETE,,Administrative
,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/MICROSOFT.POLICYINSIGHTS/ACTION,,Administrative
,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/MOVERESOURCES/ACTION,,Administrative
,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/VALIDATEMOVERESOURCES/ACTION,,Administrative
,MICROSOFT.RESOURCES/SUBSCRIPTIONS/RESOURCEGROUPS/WRITE,,Administrative
,MICROSOFT.RESOURCES/TAGS/WRITE,,Administrative
,MICROSOFT.RESOURCES/TEMPLATESPECS/VERSIONS/WRITE,,Administrative
,MICROSOFT.RESOURCES/TEMPLATESPECS/WRITE,,Administrative
,MICROSOFT.RESOURCES/TENANTS/REGISTER/ACTION,,Administrative
,MICROSOFT.SAAS/CHECKNAMEAVAILABILITY/ACTION,,Administrative
,MICROSOFT.SAAS/REGISTER/ACTION,,Administrative
,MICROSOFT.SAAS/RESOURCES/LISTACCESSTOKEN/ACTION,,Administrative
,MICROSOFT.SAAS/RESOURCES/WRITE,,Administrative
,MICROSOFT.SEARCH/CHECKNAMEAVAILABILITY/ACTION,,Administrative
,MICROSOFT.SEARCH/REGISTER/ACTION,,Administrative
,MICROSOFT.SEARCH/SEARCHSERVICES/DELETE,,Administrative
,MICROSOFT.SEARCH/SEARCHSERVICES/LISTADMINKEYS/ACTION,,Administrative
,MICROSOFT.SEARCH/SEARCHSERVICES/WRITE,,Administrative
,MICROSOFT.SECURITY/ADVANCEDTHREATPROTECTIONSETTINGS/WRITE,,Administrative
,MICROSOFT.SECURITY/ASSESSMENTS/GOVERNANCEASSIGNMENTS/WRITE,,Administrative
